[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:37:53 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002386&start=20170921&end=20171127&stat=1&order=D&period=d,size=3842, try=0
[I 171127 16:37:53 DataFether:171] 002386,20170921,42 history data download ok.
[I 171127 16:37:54 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600499&start=20170921&end=20171127&stat=1&order=D&period=d,size=3991, try=0
[I 171127 16:37:54 DataFether:171] 600499,20170921,42 history data download ok.
[I 171127 16:37:55 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300080&start=20170921&end=20171127&stat=1&order=D&period=d,size=3715, try=0
[I 171127 16:37:55 DataFether:171] 300080,20170921,42 history data download ok.
[I 171127 16:37:56 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002422&start=20170921&end=20171127&stat=1&order=D&period=d,size=3916, try=0
[I 171127 16:37:56 DataFether:171] 002422,20170921,42 history data download ok.
[I 171127 16:37:57 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300522&start=20170921&end=20171127&stat=1&order=D&period=d,size=3874, try=0
[I 171127 16:37:57 DataFether:171] 300522,20170921,42 history data download ok.
[I 171127 16:37:58 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600549&start=20170921&end=20171127&stat=1&order=D&period=d,size=3962, try=0
[I 171127 16:37:58 DataFether:171] 600549,20170921,42 history data download ok.
[I 171127 16:37:59 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600262&start=20170921&end=20171127&stat=1&order=D&period=d,size=3866, try=0
[I 171127 16:37:59 DataFether:171] 600262,20170921,42 history data download ok.
[I 171127 16:38:00 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002176&start=20170921&end=20171127&stat=1&order=D&period=d,size=3979, try=0
[I 171127 16:38:00 DataFether:171] 002176,20170921,42 history data download ok.
[I 171127 16:38:00 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600745&start=20170921&end=20171127&stat=1&order=D&period=d,size=3920, try=0
[I 171127 16:38:00 DataFether:171] 600745,20170921,42 history data download ok.
[I 171127 16:38:01 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600620&start=20170921&end=20171127&stat=1&order=D&period=d,size=3874, try=0
[I 171127 16:38:01 DataFether:171] 600620,20170921,42 history data download ok.
[I 171127 16:38:02 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000807&start=20170921&end=20171127&stat=1&order=D&period=d,size=3963, try=0
[I 171127 16:38:02 DataFether:171] 000807,20170921,42 history data download ok.
[I 171127 16:38:03 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600770&start=20170921&end=20171127&stat=1&order=D&period=d,size=3748, try=0
[I 171127 16:38:03 DataFether:171] 600770,20170921,42 history data download ok.
[I 171127 16:38:04 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300379&start=20170921&end=20171127&stat=1&order=D&period=d,size=3902, try=0
[I 171127 16:38:04 DataFether:171] 300379,20170921,42 history data download ok.
[I 171127 16:38:05 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002429&start=20170921&end=20171127&stat=1&order=D&period=d,size=3789, try=0
[I 171127 16:38:05 DataFether:171] 002429,20170921,42 history data download ok.
[I 171127 16:38:06 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000951&start=20170921&end=20171127&stat=1&order=D&period=d,size=3913, try=0
[I 171127 16:38:06 DataFether:171] 000951,20170921,42 history data download ok.
[I 171127 16:38:07 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300142&start=20170921&end=20171127&stat=1&order=D&period=d,size=3948, try=0
[I 171127 16:38:07 DataFether:171] 300142,20170921,42 history data download ok.
